ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
"S1982-89182021000100409-scl","AUTOAPRESENTAÇÃO CORPORAL DE LUTADORAS DE ARTES MARCIAIS MISTAS (MMA) NO INSTAGRAM","Oliveira, João Paulo Silva de, Macedo, Christiane Garcia, Millen Neto, Alvaro Rego","Movimento; 27(); -","Movimento","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-89182021000100409&lang=pt" 
"S1982-89182021000100413-scl","EDUCAÇÃO FÍSICA E MÍDIA: ESTUDO BIBLIOMÉTRICO NA WEB OF SCIENCE DE 1945-2019","Cândido, Cássia Marques, Ferreira, Maxwel de Azevedo, Oliveira, Alexandre Palma de, Assis, Monique Ribeiro de","Movimento; 27(); -","Movimento","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-89182021000100413&lang=pt" 
"S1983-46592021000501182-scl","THE CONGRUENCE OF SDG COMMUNICATION IN FORMAL AND INFORMAL CHANNELS PERFORMED BY SELF-TITLED SUSTAINABLE COMPANIES","Oliveira, Paulo Roberto Vieira de, Alberton, Anete, Kreich, Mateus Vianei","Revista de Administração da UFSM; 14(spe); 1182-1200","Revista de Administração da UFSM","Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-46592021000501182&lang=pt" 
"S1414-98932021000100140-scl","Funções Exercidas pelos Membros das Redes Sociais Significativas de Pessoas Aposentadas","Antunes, Marcos Henrique, Moré, Carmen Leontina Ojeda Ocampo","Psicologia: Ciência e Profissão; 41(); -","Psicologia: Ciência e Profissão","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932021000100140&lang=pt" 
"S0103-20032021000200207-scl","Construção social de mercados orgânicos: o caso das Células de Consumidores Responsáveis em Florianópolis-SC","Miranda, Dayana Lilian Rosa, Escosteguy, Isadora Leite, Rover, Oscar José, Sampaio, Carlos Alberto Cioce","Revista de Economia e Sociologia Rural; 59(2); -","Revista de Economia e Sociologia Rural","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032021000200207&lang=pt" 
"S0103-33522021000100206-scl","Ativismo Feminista Negro no Brasil: do movimento de mulheres negras ao feminismo interseccional","Rodrigues, Cristiano, Freitas, Viviane Gonçalves","Revista Brasileira de Ciência Política; (34); -","Revista Brasileira de Ciência Política","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-33522021000100206&lang=pt" 
"S0011-52582021000200201-scl","Tecnicidades e Identidades Migrantes nos Usos Sociais das Mídias: Uma Aproximação à Diáspora Senegalesa no Sul do Brasil","Brignol, Liliane Dutra","Dados; 64(2); -","Dados","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582021000200201&lang=pt" 
"S1414-32832021000100226-scl","Corporate Social Responsibility in the restaurant and fast food industry: a study of communication on healthy eating through social networks","Martínez-Sala, Alba-María, Quiles-Soler, María-Carmen, Monserrat-Gauchi, Juan","Interface - Comunicação, Saúde, Educação; 25(); -","Interface - Comunicação, Saúde, Educação","Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832021000100226&lang=pt" 
"S2179-08922021000300400-scl","Redes globais de produção: um caminho de análise para a geografia econômica","Bezerra, Juscelino Eudâmidas","GEOUSP; 25(3); -","GEOUSP","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-08922021000300400&lang=pt" 
"S0101-90742021000100415-scl","Posse, propriedade e conflitos em terras do Apeú: considerações sobre um litígio de terras entre posseiros no Pará nas primeiras décadas da república (1895-1905)","Esteves, Carlos Leandro","História (São Paulo); 40(); -","História (São Paulo)","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-90742021000100415&lang=pt" 
"S0102-71822021000100235-scl","ITINERÁRIOS TERAPÊUTICOS DE HOMENS TRANS EM TRANSIÇÃO DE GÊNERO","Mattos, Mario Henrique de, Zambenedetti, Gustavo","Psicologia &amp; Sociedade; 33(); -","Psicologia &amp; Sociedade","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822021000100235&lang=pt" 
"S0104-44782021000200201-scl","A incubação da extrema-direita: a rede de financiamento do PSL nas eleições de 2018","Dias, Rodolfo Palazzo, Mayer, Rodrigo","Revista de Sociologia e Política; 29(78); -","Revista de Sociologia e Política","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782021000200201&lang=pt" 
"S1414-98932021000100153-scl","Psicólogos e o Uso das Mídias: Um Relato de Pesquisa","Miguel, Raquel de Barros Pinto, Arndt, Gilmara Joanol, Pires, Jeferson Gervásio","Psicologia: Ciência e Profissão; 41(); -","Psicologia: Ciência e Profissão","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932021000100153&lang=pt" 
"S0103-863X2021000100308-scl","The Retirement Process from the Perspective of Meaningful Social Networks of Retirees","Antunes, Marcos Henrique, Moré, Carmen Leontina Ojeda Ocampo","Paidéia (Ribeirão Preto); 31(); -","Paidéia (Ribeirão Preto)","Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2021000100308&lang=pt" 
"S0103-73312021000400611-scl","Redes sociais dos profissionais da estratégia saúde da família no cuidado ao hipertenso","Silva, Ana Zaira, Silva, Maria Rocineide Ferreira, Machado, Ana Larissa Gomes, David, Helena Maria Scherlowski, Kerr, Ligia Sansigolo, Silva, Lucilane Maria Sales da","Physis: Revista de Saúde Coletiva; 31(4); -","Physis: Revista de Saúde Coletiva","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73312021000400611&lang=pt" 
"S0104-026X2021000300221-scl","¿Qué les hacen las mujeres indígenas a las políticas feministas?","Soria, Ana Sofía","Revista Estudos Feministas; 29(3); -","Revista Estudos Feministas","Espanhol","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2021000300221&lang=pt" 
"S1984-22012021000100225-scl","CARACTERIZAÇÃO DOS PÓLOS COMERCIAIS DE CASAS DE MADEIRA NO BRASIL","Araujo, Victor Almeida de, Vasconcelos, Juliano Souza, Morales, Elen Aparecida Martines, Lahr, Francisco Antonio Rocco, Christoforo, André Luis","Mercator (Fortaleza); 20(); -","Mercator (Fortaleza)","Inglês, Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-22012021000100225&lang=pt" 
"S0104-026X2021000300401-scl","O ritmo e a poesia de uma rapper lésbica nas lutas sociais","Mendonça, Viviane Melo de, Leite, Kelen Christina","Revista Estudos Feministas; 29(3); -","Revista Estudos Feministas","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2021000300401&lang=pt" 
"S1414-32832021000100206-scl","Maternidades contemporáneas: tribus digitales e interacciones con las instituciones de salud","Muñoz-Zapata, Doris Elena, Marín-Ochoa, Beatriz Elena, Ariza-Sosa, Gladys Rocío","Interface - Comunicação, Saúde, Educação; 25(); -","Interface - Comunicação, Saúde, Educação","Inglês, Espanhol","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832021000100206&lang=pt" 
"S1983-36522021000100203-scl","What are the factors that influence the use of social networks as a means to serve pedagogy?","Gómez-García, Melchor, Boumadan, Moussa, Soto-Varela, Roberto, Gutiérrez-García, Ángeles","Texto Livre; 14(1); -","Texto Livre","Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-36522021000100203&lang=pt" 
"S1414-49802020000300419-scl","Ódio e intolerância nas redes sociais digitais","Quadrado, Jaqueline Carvalho, Ferreira, Ewerton da Silva","Revista Katálysis; 23(3); 419-428","Revista Katálysis","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-49802020000300419&lang=pt" 
"S0102-85292020000300515-scl","‘Peace with a Woman’s Face’: Women, Social Media and the Colombian Peace Process","Henshaw, Alexis","Contexto Internacional; 42(3); 515-538","Contexto Internacional","Inglês","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292020000300515&lang=pt" 
"S1413-99362020000400118-scl","Métricas alternativas de periódicos da Ciência da Informação","Rocha, Ednéia Silva Santos, Silva, Márcia Regina da","Perspectivas em Ciência da Informação; 25(4); 118-139","Perspectivas em Ciência da Informação","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362020000400118&lang=pt" 
"S1982-61252020000300050-scl","DEIXE SEU LIKE! O Engajamento nas Publicações com Digital Influencers no Instagram das DMOs Brasileiras","Avelino, Maria Raquel, Silva, Adrielly Souza, Leal, Sérgio Rodrigues","Revista Brasileira de Pesquisa em Turismo; 14(3); 50-67","Revista Brasileira de Pesquisa em Turismo","Inglês, Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-61252020000300050&lang=pt" 
"S1982-25532020000300139-scl","Política na era da visibilidade total: observações conjunturais a partir do episódio The Waldo Moment, de Black Mirror","Pinto Neto, Moysés","Galáxia (São Paulo); (45); 139-152","Galáxia (São Paulo)","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-25532020000300139&lang=pt" 
"S1983-71512020000300424-scl","ANÁLISE DE REDES SOCIAIS DE MEIOS DE HOSPEDAGEM DE TIRADENTES (MG): PERFIL E EVIDÊNCIAS DA GÊNESE DOS RELACIONAMENTOS","Vasconcelos, Geraldo Magela Rodrigues de, Melo-Silva, Gustavo, Maia, Velcimiro Inácio","Turismo: Visão e Ação; 22(3); 424-445","Turismo: Visão e Ação","Inglês, Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-71512020000300424&lang=pt" 
"S0034-75902020000600400-scl","EFEITOS DA INFORMAÇÃO NA INSEGURANÇA E ENGAJAMENTO NO TRABALHO EM TEMPOS DE PANDEMIA","FRARE, ANDERSON BETTI, BEUREN, ILSE MARIA","Revista de Administração de Empresas; 60(6); 400-412","Revista de Administração de Empresas","Inglês, Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902020000600400&lang=pt" 
"S0034-76122020000501286-scl","Instrumentos e integração de políticas públicas: a rede do Cadastro Único","Direito, Denise do Carmo, Koga, Natalia Massaco","Revista de Administração Pública; 54(5); 1286-1306","Revista de Administração Pública","Inglês, Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122020000501286&lang=pt" 
"S0103-40142020000200261-scl","Análise de redes sociais como estratégia de apoio à vigilância em saúde durante a Covid-19","XAVIER, FERNANDO, OLENSCKI, JOÃO RODRIGO W., ACOSTA, ANDRE LUIS, SALLUM, MARIA ANICE MUREB, SARAIVA, ANTONIO MAURO","Estudos Avançados; 34(99); 261-282","Estudos Avançados","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142020000200261&lang=pt" 
"S1982-61252020000100140-scl","Analysis of the social network of the Instance of Governance of the Caminho Novo Tourist Circuit, MG: a complex and systemic perspective,","Guilarducci, Bruno Campos, Fratucci, Aguinaldo Cesar","Revista Brasileira de Pesquisa em Turismo; 14(1); 140-160","Revista Brasileira de Pesquisa em Turismo","Inglês, Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-61252020000100140&lang=pt" 
"S1982-25532020000100081-scl","O Twitter como ferramenta de campanha negativa não oficial: uma análise da campanha eleitoral para a Prefeitura do Rio de Janeiro em 2016","Joathan, Ícaro, Alves, Marcelo","Galáxia (São Paulo); (43); 81-98","Galáxia (São Paulo)","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-25532020000100081&lang=pt" 
"S1982-25532020000100168-scl","A construção da figura política de Bolsonaro no El País: um exercício metodológico para análise sobre produção de sentido no jornalismo","Bittencourt, Maria Clara Aquino","Galáxia (São Paulo); (43); 168-187","Galáxia (São Paulo)","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-25532020000100168&lang=pt" 
"S1518-70122020000200305-scl","Desenvolvimento regional e a contribuição universitária: uma análise das publicações nacionais e internacionais de 2008 a 2016","Aguiar, Mariane Rodrigues Volz de, Kocourek, Sheila, Oliveira, Jairo Luz de, Rodrigues, Adriano Correia","Interações (Campo Grande); 21(2); 305-316","Interações (Campo Grande)","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122020000200305&lang=pt" 
"S1983-71512020000100115-scl","Articulação de rede social no processo de desenvolvimento turístico: o caso no Rio Grande do Norte/Brasil","COUTINHO, ANA CATARINA ALVES, AZEVEDO, FRANCISCO FRANSUALDO, NÓBREGA, WILKER RICARDO DE MENDONÇA","Turismo: Visão e Ação; 22(1); 115-140","Turismo: Visão e Ação","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-71512020000100115&lang=pt" 
"S0103-33522020000100007-scl","Novos atores políticos de esquerda nas redes sociais: o uso do Facebook pelas lideranças do Podemos e do Bloco de Esquerda","Penteado, Claudio Luis de Camargo, Souza, Paulo Roberto Elias de, Fiacadori, Giuliana","Revista Brasileira de Ciência Política; (31); 7-40","Revista Brasileira de Ciência Política","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-33522020000100007&lang=pt" 
"S1679-39512020000100172-scl","Migrantes cortadores de cana-de-açúcar no Paraná: práticas cotidianas e processos de territorialização em meio ao trabalho precário","BOAS, LUANA FURTADO VILAS, ICHIKAWA, ELISA YOSHIE","Cadernos EBAPE.BR; 18(1); 172-183","Cadernos EBAPE.BR","Inglês, Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512020000100172&lang=pt" 
"S1809-58442020000100147-scl","Violência policial e o debate no Twitter em Portugal: o caso do Bairro da Jamaica","Teles, Beatriz Nascimento","Intercom: Revista Brasileira de Ciências da Comunicação; 43(1); 147-164","Intercom: Revista Brasileira de Ciências da Comunicação","Inglês, Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-58442020000100147&lang=pt" 
"S0103-63512020000100257-scl","Disseminação de informações em sistemas socioecológicos: análise de um modelo híbrido de Dinâmica de Sistemas e Modelagem Baseada em Agentes","Campos, Rafael Faria de Abreu, Cunha, Dênis Antônio da, Bueno, Newton Paulo","Nova Economia; 30(1); 257-286","Nova Economia","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512020000100257&lang=pt" 
"S0104-44782020000300203-scl","Redes da política externa institucional brasileira: Circulações diplomáticas e relacionamentos do Ministério das Relações Exteriores","Lima, Rodolfo de Camargo","Revista de Sociologia e Política; 28(75); -","Revista de Sociologia e Política","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782020000300203&lang=pt" 
"S0104-44782020000400206-scl","Engajamento público e o uso institucional do Facebook nas assembleias legislativas da Região Sudeste","Bernardes, Cristiane Brum","Revista de Sociologia e Política; 28(76); -","Revista de Sociologia e Política","Inglês, Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782020000400206&lang=pt" 
"S1413-73722020000100224-scl","SOBREVIVER NAS RUAS: PERCURSOS DE RESISTÊNCIA À NEGAÇÃO DO DIREITO À SAÚDE","Vale, Aléxa Rodrigues do, Vecchia, Marcelo Dalla","Psicologia em Estudo; 25(); -","Psicologia em Estudo","Inglês, Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722020000100224&lang=pt" 
"S2175-33692020000100244-scl","Reflexo de grandes eventos na mobilidade urbana","Mota, Daniel de Oliveira, Santos, Bernardo Brasil Garcia Rodrigues dos, Cardoso, Nicoli Ramos, Pirinausky, Victor, Musich, Guilherme dos Santos","urbe. Revista Brasileira de Gestão Urbana; 12(); -","urbe. Revista Brasileira de Gestão Urbana","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692020000100244&lang=pt" 
"S0102-71822020000100405-scl","NARRATIVAS ENTRE CIÊNCIA E POLÍTICA NO ATIVISMO DA CLOROQUINA","Neves, André Luiz Machado das, Ferreira, Breno de Oliveira","Psicologia &amp; Sociedade; 32(); -","Psicologia &amp; Sociedade","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822020000100405&lang=pt" 
"S1414-98932020000100148-scl","Percepção do Apoio Social e Configuração Sintomática na Anorexia Nervosa","Leonidas, Carolina, Santos, Manoel Antônio dos","Psicologia: Ciência e Profissão; 40(); -","Psicologia: Ciência e Profissão","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932020000100148&lang=pt" 
"S1982-89182020000100602-scl","INFLUÊNCIA DAS TECNOLOGIAS NA RETENÇÃO DE SÓCIOS EM GINÁSIOS: REVISÃO SISTEMÁTICA","Barbosa, Helena Ferreira, García-Fernandez, Jerónimo, Carrión, Gabriel Cepeda","Movimento; 26(); -","Movimento","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-89182020000100602&lang=pt" 
"S0104-40602020000100609-scl","Narrativas dos professores nas redes: o percurso dos professores da Educação Básica","Carvalho, Ana Beatriz Gomes Pimenta de, Alves, Thelma Panerai","Educar em Revista; 36(); -","Educar em Revista","Inglês, Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602020000100609&lang=pt" 
"S0104-40602020000100703-scl","Reaprendizagens sobre democracia e Educação na diferença: a perspectiva das redes de mulheres afro-latinas","Miranda, Claudia, Carmo, Aline Cristina Oliveira do, Oliveira, Célia Regina Cristo de","Educar em Revista; 36(); -","Educar em Revista","Inglês, Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602020000100703&lang=pt" 
"S0104-026X2020000200213-scl","Discursividades sobre identidade, sexualidade e feminismo em redes sociais","Remenche, Maria de Lourdes Rossi, Machado, Paulo Henrique, Rohling, Nívea","Revista Estudos Feministas; 28(2); -","Revista Estudos Feministas","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2020000200213&lang=pt" 
"S0104-83332020000100509-scl","Feminismo estilo magazine: um estudo sobre a Revista Elle Brasil*","Borges, Juliano, Coppi, Milena","Cadernos Pagu; (58); -","Cadernos Pagu","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332020000100509&lang=pt" 
"S0101-73302020000100202-scl","DOS ZAPATISTAS AOS INDIGNADOS: MUDANÇAS NA GEOPOLÍTICA DAS SOLIDARIEDADES TRANSNACIONAIS","Alcântara, Lívia, Bringel, Breno","Educação &amp; Sociedade; 41(); -","Educação &amp; Sociedade","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302020000100202&lang=pt" 
"S0104-83332020000200215-scl","Negras in tech: apropriação de tecnologias por mulheres negras como estratégias de resistência*","Lima, Dulcilei C., Oliveira, Taís","Cadernos Pagu; (59); -","Cadernos Pagu","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332020000200215&lang=pt" 
"S1678-69712020000500302-scl","AN ANALYSIS OF THE INFLUENCE OF THE CONSPICUOUS CONSUMPTION OF FAST FASHION ON IDENTITY CONSTRUCTION ON INSTAGRAM","DANTAS, BRUNA L. L., ABREU, NELSIO R.","RAM. Revista de Administração Mackenzie; 21(5); -","RAM. Revista de Administração Mackenzie","Inglês, Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-69712020000500302&lang=pt" 
"S0102-69092020000200512-scl","A REGULAMENTAÇÃO DA PROSTITUIÇÃO É UMA DEMANDA POR JUSTIÇA?","Caminhas, Lorena","Revista Brasileira de Ciências Sociais; 35(103); -","Revista Brasileira de Ciências Sociais","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092020000200512&lang=pt" 
"S1981-77462020000300506-scl","Representações sociais de profissionais de emergência sobre prevenção de readmissões hospitalares por tentativa de suicídio","Meira, Saulo Sacramento, Vilela, Alba Benemérita Alves, Lopes, Claudia Ribeiro Santos, Pereira, Hernane Borges de Barros, Alves, Jeorgia Pereira","Trabalho, Educação e Saúde; 18(3); -","Trabalho, Educação e Saúde","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462020000300506&lang=pt" 
"S0102-69092020000100510-scl","SISTEMA POLÍTICO-ADMINISTRATIVO E INTERAÇÕES NA IMPLEMENTAÇÃO DE POLÍTICAS PÚBLICAS","Dutra, Roberto","Revista Brasileira de Ciências Sociais; 35(102); -","Revista Brasileira de Ciências Sociais","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092020000100510&lang=pt" 
"S0103-73072020000100514-scl","Professores no Facebook: explorações sobre a gestão da distância e da proximidade diante do público escolar","Santos, Tiago Ribeiro, Valle, Ione Ribeiro","Pro-Posições; 31(); -","Pro-Posições","Inglês, Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072020000100514&lang=pt" 
"S0104-12902020000100315-scl","A vigilância sanitária no Facebook: potências e fragilidades da comunicação do risco sanitário na esfera digital","Voos, Fernanda Louise, Marques, Maria Cristina da Costa","Saúde e Sociedade; 29(1); -","Saúde e Sociedade","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902020000100315&lang=pt" 
"S0103-37862020000100501-scl","Research on social media and journalism (2003-2017): a bibliometric and content review","SEGADO-BOJ, Francisco","Transinformação; 32(); -","Transinformação","Inglês","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100501&lang=pt" 
"S0102-71822020000100211-scl","GRAFITES QUE (CONTRA)DIZEM: GÊNEROS E SEXUALIDADES NA POLIFONIA DA CENA URBANA","Mendonça, Viviane Melo de","Psicologia &amp; Sociedade; 32(); -","Psicologia &amp; Sociedade","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822020000100211&lang=pt" 
"S0104-12902020000200307-scl","A interface entre saúde, mudanças climáticas e uso do solo no Brasil: uma análise da evolução da produção científica internacional entre 1990 e 2019","Abreu, Alexandre Maduro, Sátiro, Guadalupe, Litre, Gabriela, Santos, Luciana dos, Oliveira, Jessica Eloísa de, Soares, Danny, Ávila, Kayton","Saúde e Sociedade; 29(2); -","Saúde e Sociedade","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902020000200307&lang=pt" 
"S1983-71512019000300398-scl","El uso de las redes sociales para posicionar un destino turístico: el caso de la ciudad de Guararema y sus visitantes del día","Feitosa, Wilian Ramalho, Tolentino, Daniela, Pedroso, Michele, Gianocário, Gabriele","Turismo: Visão e Ação; 21(3); 398-422","Turismo: Visão e Ação","Espanhol","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-71512019000300398&lang=pt" 
"S1808-23862019000600576-scl","The Effect of Co-authorship Network Density on the Performance of Postgraduate Programs","Pauli, Jandir, Basso, Kenny, Gobi, Ravena Lopes, Bilhar, Alissa","BBR. Brazilian Business Review; 16(6); 576-588","BBR. Brazilian Business Review","Inglês, Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-23862019000600576&lang=pt" 
"S1809-58442019000300151-scl","Feijão com arroz em panela Le Creuset: o universo Rita Lobo na gastronomia transmídia","Freire, Marcelo, Homssi, Aline Monteiro, Pereira, Ana Paula Martins","Intercom: Revista Brasileira de Ciências da Comunicação; 42(3); 151-177","Intercom: Revista Brasileira de Ciências da Comunicação","Inglês, Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-58442019000300151&lang=pt" 
"S2238-38752019000300945-scl","DAS JORNADAS DE JUNHO À CRUZADA MORAL: O PAPEL DAS REDES SOCIAIS NA POLARIZAÇÃO POLÍTICA BRASILEIRA","Machado, Jorge, Miskolci, Richard","Sociologia &amp; Antropologia; 9(3); 945-970","Sociologia &amp; Antropologia","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2238-38752019000300945&lang=pt" 
"S2176-66812019000300543-scl","Little proletarians in Warsaw: from practices of Janusz Korczak to theories of Paulo Freire","Nawroski, Alcione","Revista Brasileira de Estudos Pedagógicos; 100(256); 543-557","Revista Brasileira de Estudos Pedagógicos","Inglês","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2176-66812019000300543&lang=pt" 
"S0104-12902019000400186-scl","O linchamento em Morrinhos (boato, estigma e violência)","Leal, Fellipe Miranda, Martin, Denise","Saúde e Sociedade; 28(4); 186-197","Saúde e Sociedade","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902019000400186&lang=pt" 
"S0104-12902019000400243-scl","“Homem é homem e mulher é mulher, o resto, sem-vergonhice”: representações sociais da transexualidade sobre comentários da internet","Vitali, Marieli Mezari, Castro, Amanda, Caravaca-Morera, Jaime, Soratto, Jacks","Saúde e Sociedade; 28(4); 243-254","Saúde e Sociedade","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902019000400243&lang=pt" 
"S1519-60892019000300583-scl","Democracia deliberativa no Brasil: A expansão de um campo concentrado","Horochovski, Rodrigo Rossi, Clemente Junior, Augusto, Sampaio, Rafael Cardoso, Mendonça, Ricardo Fabrino","Civitas - Revista de Ciências Sociais; 19(3); 583-604","Civitas - Revista de Ciências Sociais","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-60892019000300583&lang=pt" 
"S1679-39512019000700673-scl","Teoria de Redes de Influências de &quot;Stakeholders&quot;: uma abordagem revisitada","STOCKER, FABRICIO, MASCENA, KEYSA MANUELA CUNHA, AZEVEDO, ANA CLÁUDIA, BOAVENTURA, JOÃO MAURÍCIO GAMA","Cadernos EBAPE.BR; 17(spe); 673-688","Cadernos EBAPE.BR","Inglês, Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512019000700673&lang=pt" 
"S1414-49802019000300468-scl","A educação básica brasileira em disputa: doutrinação versus neutralidade","Oliveira, Ana Cláudia Rodrigues de, Storto, Letícia Jovelina, Lanza, Fabio","Revista Katálysis; 22(3); 468-478","Revista Katálysis","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-49802019000300468&lang=pt" 
"S1518-70122019000300659-scl","A social network analysis applied to understand the relationships in fish farming tank-nets business in Brazil","Martinelli, Raiane Real, Pigatto, Gessuir, Queiroz, Timóteo Ramos, Mollo Neto, Mário","Interações (Campo Grande); 20(3); 659-678","Interações (Campo Grande)","Inglês","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122019000300659&lang=pt" 
"S0104-62762019000200258-scl","Opinião e cenários comunicativos: influência de fatores contextuais nos processos sociopsicológicos da espiral do silêncio","Ortiz, Junia","Opinião Pública; 25(2); 258-286","Opinião Pública","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762019000200258&lang=pt" 
"S0104-62762019000200287-scl","Percepción de la violencia y el capital social en Nuevo León, México","Sánchez, María de Jesús Ávila, Donia, Eric Omar Pantoja, Díaz, José Alfredo Jáuregui","Opinião Pública; 25(2); 287-311","Opinião Pública","Espanhol","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762019000200287&lang=pt" 
"S2178-28222019000100177-scl","Georeferencing networks and social network analysis: an exploratory study about the research and development projects of the Brazilian Electricity Regulatory Agency (ANEEL)","Costa, Janaina Oliveira Pamplona da, Baldoni, Lucas, Marques, Mariana Sartorato","Revista Brasileira de Inovação; 18(1); 177-204","Revista Brasileira de Inovação","Inglês","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2178-28222019000100177&lang=pt" 
