id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
264	"davis, clayton a."	-0.3682	0.246	7	150	250	2	425	19.7664	2017.5	212.5	9.8832
274	"deb, ashok"	-0.023	0.4223	12	21	43	3	26	2.4798	2018.6667	8.6667	0.8266
280	"desens, linda"	0.7527	1.3143	11	3	3	1	11	4.5158	2021	11	4.5158
286	"diakopoulos, nicholas"	-0.2048	-0.4081	3	37	40	1	86	2.3178	2016	86	2.3178
295	"dodds, peter sheridan"	-0.6174	-0.0027	9	10	13	1	46	1.2398	2016	46	1.2398
300	"dorri, ali"	1.3463	-0.3256	13	1	1	1	11	0.8537	2018	11	0.8537
304	"dubois, elizabeth"	-0.2831	-0.5933	2	7	7	1	6	0.5916	2019	6	0.5916
305	"duh, andrej"	0.0366	0.2532	3	18	18	1	14	1.0866	2018	14	1.0866
307	"edwards, autumn"	-0.1701	-0.2092	1	33	36	1	122	3.0311	2014	122	3.0311
308	"edwards, chad"	-0.1696	-0.2099	1	33	36	1	122	3.0311	2014	122	3.0311
309	"einwiller, sabine"	-0.2414	-0.519	2	5	5	1	5	2.0526	2021	5	2.0526
312	"eloff, j. h. p."	-1.5715	-0.0064	14	2	2	1	16	1.2418	2018	16	1.2418
313	"eloff, jan"	-1.546	-0.006	14	9	9	1	45	3.4925	2018	45	3.4925
321	"evert, stefan"	-0.6825	-0.091	1	24	26	1	30	2.1727	2017	30	2.1727
325	"faloutsos, christos"	1.1321	-0.3523	6	22	29	4	87	5.5075	2017.5	21.75	1.3769
327	"farahbakhsh, reza"	1.1721	-0.2822	13	43	66	7	27	0.7277	2019.5714	3.8571	0.104
328	"fayoumi, ayman"	0.6996	-0.1426	4	32	32	1	8	1.0842	2020	8	1.0842
332	"fernquist, johan"	-0.264	-0.7166	2	3	3	1	14	1.0866	2018	14	1.0866
333	"ferrara, emilio"	-0.378	0.241	7	173	419	12	740	47.9174	2018.6364	61.6667	3.9931
334	"ferreira, fernando"	-0.3692	-0.4678	2	15	15	1	6	0.8132	2020	6	0.8132
340	"flammini, alessandro"	-0.365	0.2298	7	151	277	3	448	22.8837	2018.3333	149.3333	7.6279
343	"ford, heather"	-0.2244	-0.4711	3	2	2	1	24	2.3666	2019	24	2.3666
349	"frischlich, lena"	-0.5208	-0.0922	9	31	48	3	13	1.7619	2020	4.3333	0.5873
350	"frost, catherine"	-0.1497	-0.3509	2	12	13	1	5	0.6777	2020	5	0.6777
352	"fulk, mike"	0.7506	1.3166	11	3	3	1	11	4.5158	2021	11	4.5158
357	"galbraith, richard a."	-0.6189	0.0022	9	10	13	1	46	1.2398	2016	46	1.2398
364	"ganiz, murat can"	1.2569	-0.1429	4	12	12	1	16	1.1588	2017	16	1.1588
369	"garcia-orosa, berta"	0.1201	-0.28	16	72	90	3	21	4.2932	2020	7	1.4311
378	"ghorbani, ali a."	1.2885	-0.1454	4	2	2	1	6	2.4632	2021	6	2.4632
382	"gil perez, manuel"	0.1042	0.7298	5	31	36	2	14	1.6759	2019.5	7	0.8379
383	"gilani, zafar"	0.9026	-0.1567	4	10	13	1	27	0.7277	2016	27	0.7277
385	"gillespie, marie"	-0.9855	0.7724	7	5	5	1	7	4.1806	2022	7	4.1806
390	"gomez marmol, felix"	0.1033	0.7275	5	31	36	2	14	1.6759	2019.5	7	0.8379
399	"gorodnichenko, yuriy"	0.0559	-0.1215	8	23	24	1	9	3.6947	2021	9	3.6947
400	"gorwa, robert"	-0.2884	-0.5534	2	28	28	1	44	5.9634	2020	44	5.9634
403	"grael, felipe"	-0.3697	-0.4685	2	15	15	1	6	0.8132	2020	6	0.8132
408	"grimme, christian"	-0.4239	-0.0046	9	64	115	4	85	7.0326	2018.75	21.25	1.7582
411	"grobler, jacomine"	-1.5716	-0.0062	14	2	2	1	16	1.2418	2018	16	1.2418
413	"groshek, jacob"	1.439	-0.4548	13	3	3	1	15	1.4791	2019	15	1.4791
416	"guadagno, marie"	0.7537	1.3163	11	3	3	1	11	4.5158	2021	11	4.5158
420	"guilbeault, douglas"	-0.2297	-0.5026	2	43	50	2	50	6.1251	2018	25	3.0625
422	"guitton, matthieu j."	-0.1842	-0.2357	1	4	4	1	14	0.6696	2015	14	0.6696
424	"guo, ruocheng"	0.3227	0.0357	10	13	13	1	9	0.6985	2018	9	0.6985
436	"hagelstein, jens"	-0.2426	-0.5185	2	5	5	1	5	2.0526	2021	5	2.0526
437	"hagen, loni"	-0.1085	-0.3423	3	23	23	2	14	8.3611	2022	7	4.1806
438	"hajibabaee, parisa"	-0.7089	-1.2582	15	4	5	1	5	2.0526	2021	5	2.0526
441	"halford, susan j."	0.7411	-0.276	6	15	16	1	24	0.6468	2016	24	0.6468
443	"hamooni, hossein"	0.2063	0.3441	3	27	33	3	118	4.408	2016.6667	39.3333	1.4693
449	"hasan, samiul"	-1.0219	0.7284	7	5	5	1	31	4.2015	2020	31	4.2015
454	"haustein, stefanie"	0.2439	-0.1899	8	21	23	1	111	2.9916	2016	111	2.9916
458	"heidari, maryam"	-0.6783	-1.2002	15	18	35	3	43	7.2028	2020.3333	14.3333	2.4009
459	"heinrich, philipp"	-0.6829	-0.0897	1	24	26	1	30	2.1727	2017	30	2.1727
460	"hekmatiathar, seyyedpooya"	-0.7089	-1.2591	15	4	5	1	5	2.0526	2021	5	2.0526
463	"hemsley, jeff"	-0.0325	0.52	12	4	9	1	14	1.0866	2018	14	1.0866
464	"hepp, andreas"	-0.109	-0.3719	3	1	1	1	14	1.8974	2020	14	1.8974
465	"heredia, brian"	-0.5453	-0.0162	9	24	24	1	6	0.4657	2018	6	0.4657
472	"hoellerer, tobias"	-0.2971	-0.6073	2	2	2	1	25	0.6738	2016	25	0.6738
473	"holmberg, kim"	0.2467	-0.191	8	21	23	1	111	2.9916	2016	111	2.9916
475	"hooi, bryan"	1.3546	-0.4343	6	3	6	2	33	2.7281	2019	16.5	1.364
478	"howard, philip n."	-0.2303	-0.587	2	44	56	2	165	9.1078	2017	82.5	4.5539
482	"huang, binxuan"	0.3601	0.0795	10	10	10	1	5	2.0526	2021	5	2.0526
484	"huerta canepa, gonzalo"	-0.2041	-0.6802	2	4	4	1	7	0.6902	2019	7	0.6902
485	"huertas celdran, alberto"	0.1239	0.7194	5	24	25	1	8	1.0842	2020	8	1.0842
487	"hui, pik-mai"	-0.1172	0.0844	12	24	60	3	53	6.7669	2019	17.6667	2.2556
489	"hurtado, sofia"	0.9932	-0.2638	6	14	14	1	10	0.9861	2019	10	0.9861
491	"hutchinson, jonathon"	-0.2233	-0.4712	3	2	2	1	24	2.3666	2019	24	2.3666
495	"ilias, loukas"	-0.9394	0.3926	17	6	7	1	7	2.8737	2021	7	2.8737
501	"jackson, sam"	-0.03	0.5218	12	4	9	1	14	1.0866	2018	14	1.0866
525	"jones, chris a."	-0.6162	-0.0004	9	10	13	1	46	1.2398	2016	46	1.2398
526	"jones, james h."	-0.6872	-1.2202	15	15	15	1	24	3.2527	2020	24	3.2527
527	"jones, james h. jr jr"	-0.6729	-1.1878	15	18	22	2	19	3.9501	2020.5	9.5	1.975
528	"jones, marc owen"	-0.7249	0.1166	9	6	6	1	11	1.0847	2019	11	1.0847
531	"jones, steve"	-0.1837	-0.2369	1	4	4	1	9	0.4304	2015	9	0.4304
532	"joseph, kenneth"	0.4351	0.0121	10	5	5	1	10	0.4783	2015	10	0.4783
535	"kaati, lisa"	-0.2628	-0.7176	2	3	3	1	14	1.0866	2018	14	1.0866
537	"kageura, kyo"	-0.9016	0.8308	7	5	5	1	7	0.9487	2020	7	0.9487
542	"kambourakis, georgios"	0.0714	0.7559	5	13	13	1	6	0.5916	2019	6	0.5916
543	"kantepe, mucahit"	1.2569	-0.143	4	12	12	1	16	1.1588	2017	16	1.1588
551	"keller, franziska b."	0.0422	0.6841	5	21	21	1	60	8.1319	2020	60	8.1319
552	"keller, thomas e."	-0.0702	-0.2804	3	9	9	1	14	8.3611	2022	14	8.3611
553	"keller, tobias r."	-0.3877	-0.2478	1	54	82	2	52	6.6871	2020	26	3.3436
554	"kempers, leon"	0.3133	-0.1793	8	19	19	1	13	0.3504	2016	13	0.3504
564	"khoshgoftaar, taghi m."	-0.5448	-0.0152	9	24	24	1	6	0.4657	2018	6	0.4657
566	"kim, jisu"	1.3547	-0.4342	6	3	6	2	33	2.7281	2019	16.5	1.364
574	"klinger, ulrike"	-0.3885	-0.2483	1	54	82	2	52	6.6871	2020	26	3.3436
575	"knoepfle, maria"	0.0509	0.6783	5	5	5	1	18	7.3895	2021	18	7.3895
578	"kollanyi, bence"	-0.3656	-0.3847	2	19	25	1	10	0.2695	2016	10	0.2695
581	"korosak, dean"	0.0359	0.2555	3	18	18	1	14	1.0866	2018	14	1.0866
591	"kudugunta, sneha"	-0.6369	0.1334	17	41	64	1	124	9.6239	2018	124	9.6239
595	"kumar, sumeet"	0.3629	0.0821	10	10	10	1	5	2.0526	2021	5	2.0526
604	"lai, mirko"	0.1792	-0.5921	16	2	2	1	18	1.7749	2019	18	1.7749
606	"lamo, madeline"	0.0943	-0.1209	8	4	4	1	5	0.493	2019	5	0.493
609	"lariviere, vincent"	0.2441	-0.1915	8	21	23	1	111	2.9916	2016	111	2.9916
610	"larsson, anders olof"	-0.3558	-0.4775	2	7	7	1	13	0.6217	2015	13	0.6217
618	"lerman, kristina"	0.2159	0.3198	5	29	54	3	121	10.0839	2018.6667	40.3333	3.3613
621	"li, linjing"	0.9296	-0.1908	4	25	32	2	50	3.6212	2017	25	1.8106
628	"liu, huan"	0.2402	-0.0871	10	50	88	5	99	4.2325	2017.6	19.8	0.8465
630	"liu, xia"	0.3075	-0.1575	8	11	11	1	19	1.8735	2019	19	1.8735
634	"lokot, tetyana"	-0.2052	-0.4083	3	37	40	1	86	2.3178	2016	86	2.3178
635	"lopez bernal, sergio"	0.1246	0.7215	5	24	25	1	8	1.0842	2020	8	1.0842
636	"lothian, nick"	-0.1693	0.2011	3	13	15	1	13	1.009	2018	13	1.009
639	"luceri, luca"	-0.0338	0.3976	12	23	47	3	53	6.3708	2019.3333	17.6667	2.1236
640	"lugovic, sergej"	-0.3158	0.496	5	4	4	1	33	3.254	2019	33	3.254
647	"machado traina, agma juci"	0.9244	-0.276	6	19	23	2	54	2.7794	2016	27	1.3897
664	"malekzadeh, masoud"	-0.7098	-1.2581	15	4	5	1	5	2.0526	2021	5	2.0526
673	"marculescu, radu"	0.9925	-0.2653	6	14	14	1	10	0.9861	2019	10	0.9861
674	"marechal, nathalie"	-0.6594	0.0699	9	7	10	1	14	0.3773	2016	14	0.3773
684	"martinez perez, gregorio"	0.1029	0.729	5	31	36	2	14	1.6759	2019.5	7	0.8379
689	"martini, franziska"	-0.4347	-0.2288	1	31	42	1	5	2.0526	2021	5	2.0526
692	"mathieu, jennifer"	0.7515	1.3145	11	3	3	1	11	4.5158	2021	11	4.5158
696	"mcdonald, david w."	0.1948	-0.0387	1	57	62	1	100	4.7826	2015	100	4.7826
698	"mckelvey, fenwick"	-0.282	-0.5937	2	7	7	1	6	0.5916	2019	6	0.5916
703	"meinel, christoph"	-0.1175	0.2496	3	13	13	1	5	0.493	2019	5	0.493
705	"menczer, filippo"	-0.3228	0.2	7	158	354	7	521	34.2062	2018.7143	74.4286	4.8866
707	"mercea, dan"	-0.1311	-0.1233	3	28	30	1	128	12.6217	2019	128	12.6217
720	"mitchell, lewis"	-0.2494	0.1507	3	20	33	3	17	1.5511	2020	5.6667	0.517
722	"moe, hallvard"	-0.3562	-0.478	2	7	7	1	13	0.6217	2015	13	0.6217
724	"mohamed, elfadil a."	0.7981	-0.0875	4	32	32	1	26	2.0179	2018	26	2.0179
728	"monroy-hernandez, andres"	-0.2959	-0.6069	2	2	2	1	25	0.6738	2016	25	0.6738
731	"morales, juan s."	-0.4476	-0.0772	1	6	6	1	8	1.0842	2020	8	1.0842
735	"morstatter, fred"	0.237	-0.0979	10	49	75	4	91	5.511	2018.75	22.75	1.3778
737	"mueen, abdullah"	0.3513	0.2494	3	38	62	5	125	4.9723	2017.4	25	0.9945
742	"murthy, dhiraj"	1.1736	-0.3779	13	24	26	2	27	0.6468	2016	13.5	0.3234
746	"najafi, pejman"	-0.1158	0.2481	3	13	13	1	5	0.493	2019	5	0.493
753	"nasim, mehwish"	-0.2497	0.1512	3	20	33	3	17	1.5511	2020	5.6667	0.517
756	"nazer, tahora h."	0.4273	0.0497	10	33	45	2	77	2.2902	2017.5	38.5	1.1451
758	"neely, stephen"	-0.0715	-0.279	3	9	9	1	14	8.3611	2022	14	8.3611
759	"nespoli, pantaleone"	0.1053	0.7289	5	31	36	2	14	1.6759	2019.5	7	0.8379
760	"neubaum, german"	-0.3951	-0.1959	1	23	24	1	53	5.2262	2019	53	5.2262
761	"neyazi, taberez ahmed"	-0.3777	-0.2649	1	22	23	1	11	1.4908	2020	11	1.4908
766	"nguyen, andrew"	-0.1685	0.2015	3	13	15	1	13	1.009	2018	13	1.009
772	"nizzoli, leonardo"	-1.2956	-0.0134	14	15	20	1	13	1.7619	2020	13	1.7619
800	"papamartzivanos, dimitrios"	0.0723	0.756	5	13	13	1	6	0.5916	2019	6	0.5916
802	"paris, cecile"	-0.9653	0.7925	7	5	5	1	7	0.9487	2020	7	0.9487
806	"pastor-galindo, javier"	0.1233	0.7208	5	24	25	1	8	1.0842	2020	8	1.0842
810	"patti, viviana"	0.1792	-0.5914	16	2	2	1	18	1.7749	2019	18	1.7749
826	"pham, tho"	0.0553	-0.1199	8	23	24	1	9	3.6947	2021	9	3.6947
830	"pilz, laura"	-0.3965	-0.195	1	23	24	1	53	5.2262	2019	53	5.2262
843	"powell, alison b."	0.7406	-0.278	6	15	16	1	24	0.6468	2016	24	0.6468
847	"preuss, mike"	-0.2675	0.0003	9	29	39	1	50	3.6212	2017	50	3.6212
849	"proksch, sven-oliver"	-0.4254	-0.0341	1	7	7	1	8	3.2842	2021	8	3.2842
850	"prusa, joseph d."	-0.5457	-0.0152	9	24	24	1	6	0.4657	2018	6	0.4657
854	"qi, sihua"	-1.0364	0.7033	7	5	5	1	11	0.8537	2018	11	0.8537
857	"quandt, thorsten"	-0.4686	-0.1521	1	19	28	2	12	1.6264	2020	6	0.8132
870	"ray, poushali"	0.9919	-0.2641	6	14	14	1	10	0.9861	2019	10	0.9861
886	"rosner, margo"	0.7523	1.3158	11	3	3	1	11	4.5158	2021	11	4.5158
887	"ross, bjoern"	-0.3963	-0.1973	1	23	24	1	53	5.2262	2019	53	5.2262
890	"rosso, paolo"	0.1786	-0.5914	16	2	2	1	18	1.7749	2019	18	1.7749
892	"roussaki, ioanna"	-0.9341	0.3996	17	6	7	1	7	2.8737	2021	7	2.8737
894	"roy, kamol chandra"	-0.9638	0.7533	7	5	5	1	31	4.2015	2020	31	4.2015
897	"ruffo, giancarlo"	0.1715	-0.5894	16	10	10	2	20	2.9694	2020.5	10	1.4847
898	"ruiperez-valiente, jose a."	0.1251	0.7201	5	24	25	1	8	1.0842	2020	8	1.0842
901	"rupnik, marjan slak"	0.0382	0.2548	3	18	18	1	14	1.0866	2018	14	1.0866
908	"sadri, arif mohaimin"	-0.944	0.8111	7	5	5	1	31	4.2015	2020	31	4.2015
910	saeed-ul hassan	0.6988	-0.1424	4	32	32	1	8	1.0842	2020	8	1.0842
913	"salles, debora"	-0.3039	-0.408	2	25	41	2	6	0.8132	2020.5	3	0.4066
917	"samula, paul"	-0.4359	-0.229	1	31	42	1	5	2.0526	2021	5	2.0526
924	"sanovich, sergey"	-0.245	0.3618	5	45	83	4	96	7.5327	2019	24	1.8832
926	"santana, luis e."	-0.2028	-0.6802	2	4	4	1	7	0.6902	2019	7	0.6902
929	"santini, rose marie"	-0.3048	-0.4069	2	25	41	2	6	0.8132	2020.5	3	0.4066
934	"sarkar, soumajyoti"	-0.845	0.2221	17	2	2	1	9	0.8875	2019	9	0.8875
940	"savage, saiph"	-0.297	-0.6062	2	2	2	2	25	0.6738	2016	12.5	0.3369
943	"sayyadiharikandeh, mohsen"	-0.2654	-0.2943	16	19	31	1	23	3.1172	2020	23	3.1172
944	"scannell, denise"	0.7538	1.315	11	3	3	1	11	4.5158	2021	11	4.5158
945	"schaefer, fabian"	-0.6837	-0.0906	1	24	26	1	30	2.1727	2017	30	2.1727
946	"scharf, ryan"	-0.0726	-0.2803	3	9	9	1	14	8.3611	2022	14	8.3611
947	"schlaus, mira"	-0.4231	-0.067	1	26	26	1	14	1.0139	2017	14	1.0139
950	"schoch, david"	0.0417	0.6835	5	21	21	1	60	8.1319	2020	60	8.1319
952	"schroeder, ralph"	-0.2644	-0.7178	2	3	3	1	14	1.0866	2018	14	1.0866
953	"schuchard, ross"	0.1705	0.3369	3	32	47	2	13	1.2819	2019	6.5	0.6409
954	"schuchard, ross j."	0.7366	1.2833	11	20	20	1	37	3.6484	2019	37	3.6484
961	"sela, alon"	-0.2188	-0.3288	2	9	9	2	5	0.53	2019.5	2.5	0.265
969	"shaabani, elham"	0.2079	0.0636	10	14	15	2	18	1.586	2018.5	9	0.793
970	"shafahi, mohammad"	0.3143	-0.1784	8	19	19	1	13	0.3504	2016	13	0.3504
974	"shakarian, paulo"	0.2086	0.0612	10	14	15	2	18	1.586	2018.5	9	0.793
975	"shanahan, james"	0.1024	-0.1204	8	25	38	1	11	4.5158	2021	11	4.5158
981	"shelton, ashleigh k."	-0.1702	-0.2103	1	33	36	1	122	3.0311	2014	122	3.0311
983	"sheridan, kate"	0.7516	1.3173	11	3	3	1	11	4.5158	2021	11	4.5158
984	"shin, kijung"	1.3547	-0.4341	6	3	6	2	33	2.7281	2019	16.5	1.364
986	"shoeleh, farzaneh"	1.2882	-0.145	4	2	2	1	6	2.4632	2021	6	2.4632
991	"shukla, vishal"	1.4471	-0.456	13	4	4	1	10	1.3553	2020	10	1.3553
994	"silva, bruno castanho"	-0.425	-0.0343	1	7	7	1	8	3.2842	2021	8	3.2842
1015	"spence, patric r."	-0.1707	-0.2097	1	33	36	1	122	3.0311	2014	122	3.0311
1024	"stefanidis, anthony"	0.1703	0.3386	3	32	47	2	13	1.2819	2019	6.5	0.6409
1027	"stieglitz, stefan"	-0.4093	-0.1312	1	37	50	3	69	6.3953	2018	23	2.1318
1028	"stier, sebastian"	0.0422	0.6829	5	21	21	1	60	8.1319	2020	60	8.1319
1033	"stukal, d. k."	-0.4097	-0.0269	1	26	30	2	5	0.6777	2020.5	2.5	0.3388
1034	"stukal, denis"	-0.2436	0.3622	5	45	83	4	96	7.5327	2019	24	1.8832
1037	"sugimoto, cassidy r."	0.2455	-0.1922	8	21	23	1	111	2.9916	2016	111	2.9916
1054	"talavera, oleksandr"	0.0567	-0.1201	8	23	24	1	9	3.6947	2021	9	3.6947
1056	"tambuscio, marcella"	0.1785	-0.5921	16	2	2	1	18	1.7749	2019	18	1.7749
1059	"tanupabrungsun, sikana"	-0.036	0.5226	12	4	9	1	14	1.0866	2018	14	1.0866
1061	"tardelli, serena"	-1.2982	-0.0033	14	15	30	2	17	4.1508	2021	8.5	2.0754
1065	"tench, r."	-0.2436	-0.3841	2	38	40	1	7	0.9487	2020	7	0.9487
1067	"tesconi, maurizio"	-1.2983	-0.0048	14	15	30	2	17	4.1508	2021	8.5	2.0754
1072	"tinati, ramine"	0.7419	-0.2798	6	15	16	1	24	0.6468	2016	24	0.6468
1077	"toepfl, florian"	0.0515	0.679	5	5	5	1	18	7.3895	2021	18	7.3895
1086	"tra, yolande"	0.7507	1.3154	11	3	3	1	11	4.5158	2021	11	4.5158
1087	"traina, caetano, jr."	0.9254	-0.276	6	19	23	2	54	2.7794	2016	27	1.3897
1088	"trautmann, heike"	-0.41	-0.0549	9	53	76	3	62	5.2475	2019	20.6667	1.7492
1092	"tsou, andrew"	0.245	-0.1888	8	21	23	1	111	2.9916	2016	111	2.9916
1094	"tucci, giulia"	-0.3033	-0.4066	2	25	41	2	6	0.8132	2020.5	3	0.4066
1096	"tucker, joshua a."	-0.2445	0.363	5	45	83	4	96	7.5327	2019	24	1.8832
1104	"uluturk, ismail"	-0.4724	-0.2954	16	9	18	1	13	1.7619	2020	13	1.7619
1107	"uyheng, joshua"	-0.2509	-0.0067	12	15	29	3	24	3.8027	2021	8	1.2676
1108	"uzuner, ozlem"	-0.6734	-1.1876	15	18	22	2	19	3.9501	2020.5	9.5	1.975
1112	"van der walt, estee"	-1.546	-0.0061	14	9	9	2	61	4.7343	2018	30.5	2.3672
1114	"varol, onur"	-0.3539	0.2186	7	155	325	5	505	30.6089	2019	101	6.1218
1118	"vasquez, fatima espinoza"	-0.0714	-0.2816	3	9	9	1	14	8.3611	2022	14	8.3611
1122	"venetopoulou, chrissoula"	-0.422	-0.0687	1	26	26	1	14	1.0139	2017	14	1.0139
1125	"veutgen, daniel"	-0.4249	-0.068	1	26	26	1	14	1.0139	2017	14	1.0139
1126	"vidgen, bertie"	-1.0117	0.7046	7	5	5	1	7	4.1806	2022	7	4.1806
1139	"wang, liang"	0.903	-0.1579	4	10	13	1	27	0.7277	2016	27	0.7277
1146	"weal, mark"	0.7437	-0.279	6	15	16	1	24	0.6468	2016	24	0.6468
1149	"wei, wei"	0.4353	0.0136	10	5	5	1	10	0.4783	2015	10	0.4783
1154	"wiesenberg, m."	-0.2441	-0.3838	2	38	40	1	7	0.9487	2020	7	0.9487
1158	"williams, jake ryland"	-0.6201	-0	9	10	13	1	46	1.2398	2016	46	1.2398
1161	"willis, alistair"	-1.0043	0.7511	7	5	5	1	7	4.1806	2022	7	4.1806
1166	"woolley, samuel"	-0.2415	-0.6312	2	35	39	1	92	7.1403	2018	92	7.1403
1167	"woolley, samuel c."	-0.2015	-0.4707	2	16	17	1	73	1.9675	2016	73	1.9675
1172	"wu, liang"	0.4457	0.049	10	27	33	1	74	1.9944	2016	74	1.9944
1180	"yada, shuntaro"	-0.9875	0.7289	7	5	5	1	7	0.9487	2020	7	0.9487
